00: 0000000000000000
01: b1aa069af3404101
02: 7a66f79fc2063341
03: cbccf10531467240
04: f4cdef3f840c6682
05: 4567e9a5774c2783
06: 8eab18a0460a55c3
07: 3f011e3ab54a14c2
08: f0a924d52c9e7c47
09: 4103224fdfde3d46
0a: 8acfd34aee984f06
0b: 3b65d5d01dd80e07
0c: 0464cbeaa8921ac5
0d: b5cecd705bd25bc4
0e: 7e023c756a942984
0f: cfa83aef99d46885
10: f860b3007dba49cd
11: 49cab59a8efa08cc
12: 8206449fbfbc7a8c
13: 33ac42054cfc3b8d
14: 0cad5c3ff9b62f4f
15: bd075aa50af66e4e
16: 76cbaba03bb01c0e
17: c761ad3ac8f05d0f
18: 08c997d55124358a
19: b963914fa264748b
1a: 72af604a932206cb
1b: c30566d0606247ca
1c: fc0478ead5285308
1d: 4dae7e7026681209
1e: 86628f75172e6049
1f: 37c889efe46e2148
20: e9f39caadff222d9
21: 58599a302cb263d8
22: 93956b351df41198
23: 223f6dafeeb45099
24: 1d3e73955bfe445b
25: ac94750fa8be055a
26: 6758840a99f8771a
27: d6f282906ab8361b
28: 195ab87ff36c5e9e
29: a8f0bee5002c1f9f
2a: 633c4fe0316a6ddf
2b: d296497ac22a2cde
2c: ed9757407760381c
2d: 5c3d51da8420791d
2e: 97f1a0dfb5660b5d
2f: 265ba64546264a5c
30: 11932faaa2486b14
31: a039293051082a15
32: 6bf5d835604e5855
33: da5fdeaf930e1954
34: e55ec09526440d96
35: 54f4c60fd5044c97
36: 9f38370ae4423ed7
37: 2e92319017027fd6
38: e13a0b7f8ed61753
39: 50900de57d965652
3a: 9b5cfce04cd02412
3b: 2af6fa7abf906513
3c: 15f7e4400ada71d1
3d: a45de2daf99a30d0
3e: 6f9113dfc8dc4290
3f: de3b15453b9c0391
40: cad5c3ff9b62f4f1
41: 7b7fc5656822b5f0
42: b0b334605964c7b0
43: 011932faaa2486b1
44: 3e182cc01f6e9273
45: 8fb22a5aec2ed372
46: 447edb5fdd68a132
47: f5d4ddc52e28e033
48: 3a7ce72ab7fc88b6
49: 8bd6e1b044bcc9b7
4a: 401a10b575fabbf7
4b: f1b0162f86bafaf6
4c: ceb1081533f0ee34
4d: 7f1b0e8fc0b0af35
4e: b4d7ff8af1f6dd75
4f: 057df91002b69c74
50: 32b570ffe6d8bd3c
51: 831f76651598fc3d
52: 48d3876024de8e7d
53: f97981fad79ecf7c
54: c6789fc062d4dbbe
55: 77d2995a91949abf
56: bc1e685fa0d2e8ff
57: 0db46ec55392a9fe
58: c21c542aca46c17b
59: 73b652b03906807a
5a: b87aa3b50840f23a
5b: 09d0a52ffb00b33b
5c: 36d1bb154e4aa7f9
5d: 877bbd8fbd0ae6f8
5e: 4cb74c8a8c4c94b8
5f: fd1d4a107f0cd5b9
60: 23265f554490d628
61: 928c59cfb7d09729
62: 5940a8ca8696e569
63: e8eaae5075d6a468
64: d7ebb06ac09cb0aa
65: 6641b6f033dcf1ab
66: ad8d47f5029a83eb
67: 1c27416ff1dac2ea
68: d38f7b80680eaa6f
69: 62257d1a9b4eeb6e
6a: a9e98c1faa08992e
6b: 18438a855948d82f
6c: 274294bfec02cced
6d: 96e892251f428dec
6e: 5d2463202e04ffac
6f: ec8e65badd44bead
70: db46ec55392a9fe5
71: 6aeceacfca6adee4
72: a1201bcafb2caca4
73: 108a1d50086ceda5
74: 2f8b036abd26f967
75: 9e2105f04e66b866
76: 55edf4f57f20ca26
77: e447f26f8c608b27
78: 2befc88015b4e3a2
79: 9a45ce1ae6f4a2a3
7a: 51893f1fd7b2d0e3
7b: e023398524f291e2
7c: df2227bf91b88520
7d: 6e88212562f8c421
7e: a544d02053beb661
7f: 14eed6baa0fef760
80: 8c997d55124358a1
81: 3d337bcfe10319a0
82: f6ff8acad0456be0
83: 47558c5023052ae1
84: 7854926a964f3e23
